meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
444.85714285714283,102,2626,349380.52857142856,591.0841975314756,0.03162465369307023,0.027945347310054876,0.0574556880313369,7.3378562745964e-05,0.008566128807458127,2.1,0,0,0,0,0,0.6,0.4,204.06280060345844,,10,002
3339.3333333333335,921,7294,11924022.333333334,3453.117769977348,0.0262149755060868,0.02222762469967155,0.028476568186561222,1.19960045075233e-05,0.00346352486746137,0.3,0,0,0,0,0,0.5,0.5,185.72413997870876,,10,002
1403.0,204,3957,1615685.3333333333,1271.0961149076545,0.027481971529529175,0.023292606256543377,0.0289191186068599,3.523774374445645e-06,0.0018771719086023114,0.7,0,0,0,0,0,0.16666666666666666,0.16666666666666666,210.340341089007,,10,002
504.2631578947368,103,2046,351938.3157894736,593.2438923322123,0.03351766451850204,0.027607203101561565,0.06116245756927141,9.271824252221314e-05,0.009629031234875768,1.9,0,0,0,0,0,0.5555555555555556,0.4444444444444444,105.2214348551746,,10,002
799.0,102,6004,2814868.909090909,1677.7571067025492,0.0510948312390583,0.027934308446117235,0.11651800168505243,0.0009479909398259069,0.03078946150594237,1.2,0,0,0,0,0,0.45454545454545453,0.6363636363636364,18.794502500038913,,10,002
596.5,102,4776,1495382.2666666666,1222.8582365371167,0.06384386287375,0.0263807322328685,0.1931079593002651,0.0036584139888120133,0.06048482445053481,1.6,0,0,0,0,0,0.4,0.5333333333333333,17.23722371787902,,10,002
1665.3333333333333,413,3957,1928979.4666666673,1388.8770523940077,0.02621600211687966,0.015806820302329508,0.02865193434043572,2.6079839920743818e-05,0.005106842460928652,0.6,0,0,0,0,0,0.6,0.4,903.7496533338292,,10,002
10048.0,10048,10048,nan,nan,0.020224169865122897,0.020224169865122897,0.020224169865122897,nan,nan,0.1,0,0,0,0,0,-1,-1,4318.589442968852,,10,002
812.5,102,7127,3973465.909090909,1993.3554397274233,0.06435133559677743,0.00405943146192063,0.14606603613570998,0.0023057703259147435,0.04801843735394503,1.2,0,0,0,0,0,0.36363636363636365,0.5454545454545454,15.499831949386463,,10,002
9995.0,9995,9995,nan,nan,0.016712729461725084,0.016712729461725084,0.016712729461725084,nan,nan,0.1,0,0,0,0,0,-1,-1,2904.839133160965,,10,002
