eyeDataTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,note
1759656815793,True,True,0.1623289,1.60184,-0.2698747,-0.1449579,0.2625828,0.9539589,True,0.05767909,1.791407,0.4188195,Data_from_ARETT
1759656815827,True,True,0.1623726,1.601825,-0.2699041,-0.1447383,0.2622652,0.9540796,True,0.05807651,1.790809,0.4175906,Data_from_ARETT
1759656815861,True,True,0.1624685,1.601754,-0.2697557,-0.1446505,0.2622299,0.9541026,True,0.05825103,1.790685,0.417654,Data_from_ARETT
1759656815895,True,True,0.1624251,1.601691,-0.26969,-0.1451138,0.2625003,0.9539579,True,0.057723,1.79109,0.418607,Data_from_ARETT
1759656815931,True,True,0.1623779,1.601745,-0.2698753,-0.1450844,0.2621967,0.9540458,True,0.05755457,1.791182,0.4194219,Data_from_ARETT
1759656815963,True,True,0.162475,1.601664,-0.2697162,-0.1443073,0.2610778,0.9544704,True,0.05851161,1.789752,0.4179135,Data_from_ARETT
1759656815997,True,True,0.1625555,1.601591,-0.2696522,-0.1435448,0.2606659,0.954698,True,0.05914368,1.789379,0.4181265,Data_from_ARETT
1759656816031,True,True,0.1626806,1.601686,-0.2692862,-0.1430432,0.2609906,0.9546846,True,0.05967519,1.789626,0.4181819,Data_from_ARETT
1759656816065,True,True,0.1623522,1.601726,-0.2694504,-0.1438995,0.2621508,0.9542379,True,0.05871678,1.790525,0.4177855,Data_from_ARETT
1759656816099,True,True,0.1625756,1.601657,-0.2694539,-0.1439456,0.2598514,0.9548596,True,0.05891032,1.788794,0.4182071,Data_from_ARETT
1759656816134,True,True,0.1626721,1.601552,-0.2693896,-0.1442284,0.2593069,0.9549649,True,0.05881054,1.788284,0.418299,Data_from_ARETT
1759656816168,True,True,0.1624707,1.60149,-0.2693168,-0.143532,0.2589183,0.9551753,True,0.0591225,1.78792,0.4184437,Data_from_ARETT
1759656816202,True,True,0.1626236,1.60149,-0.2691787,-0.1420593,0.2591628,0.9553291,True,0.06034086,1.788087,0.4186586,Data_from_ARETT
1759656816236,True,True,0.1625002,1.601418,-0.2690065,-0.1419874,0.2593242,0.955296,True,0.06029276,1.788088,0.4186485,Data_from_ARETT
1759656816269,True,True,0.1624731,1.601378,-0.2691481,-0.1417737,0.2582346,0.9556229,True,0.06040394,1.787293,0.4188468,Data_from_ARETT
1759656816304,True,True,0.1625297,1.601375,-0.2688071,-0.1434407,0.2571654,0.9556624,True,0.05932038,1.786413,0.4188169,Data_from_ARETT
1759656816338,True,True,0.1624565,1.601465,-0.2688971,-0.1441631,0.2576926,0.9554117,True,0.05872118,1.786893,0.4185872,Data_from_ARETT
1759656816372,True,True,0.1626124,1.601531,-0.2689219,-0.1437022,0.2579111,0.9554222,True,0.0591993,1.787133,0.418633,Data_from_ARETT
1759656816406,True,True,0.1627631,1.601485,-0.2688713,-0.1433343,0.2574154,0.9556111,True,0.05961638,1.786727,0.4188088,Data_from_ARETT
1759656816440,True,True,0.1629781,1.601344,-0.2686401,-0.1420298,0.2567463,0.9559858,True,0.06078717,1.786073,0.4191949,Data_from_ARETT
1759656816475,True,True,0.1630411,1.601371,-0.268535,-0.1405323,0.2564486,0.956287,True,0.06193374,1.785876,0.4194755,Data_from_ARETT
1759656816509,True,True,0.1630131,1.601305,-0.2684889,-0.1404841,0.255652,0.9565073,True,0.0619488,1.785221,0.419623,Data_from_ARETT
1759656816543,True,True,0.1629854,1.601289,-0.2684718,-0.1411241,0.2552181,0.956529,True,0.06146894,1.784878,0.4195994,Data_from_ARETT
1759656816577,True,True,0.1629984,1.601216,-0.2684161,-0.1413831,0.2548743,0.9565824,True,0.06130372,1.784543,0.4196391,Data_from_ARETT
1759656816611,True,True,0.1629176,1.601156,-0.2684586,-0.1419199,0.2545451,0.9565906,True,0.06083604,1.784248,0.4196075,Data_from_ARETT
1759656816645,True,True,0.1628268,1.601187,-0.2685262,-0.1423058,0.2548515,0.9564517,True,0.06046269,1.784508,0.4194731,Data_from_ARETT
