eyeDataTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,note
1759656691330,True,True,0.04802157,1.665262,0.07152794,0.1721326,-0.1128385,0.9785897,False,0,0,0,Data_from_ARETT
1759656691363,True,True,0.04726668,1.664874,0.07164743,0.1628702,-0.1159025,0.9798163,False,0,0,0,Data_from_ARETT
1759656691400,True,True,0.04626301,1.664564,0.07169583,0.1521011,-0.1201177,0.9810387,False,0,0,0,Data_from_ARETT
1759656691435,True,True,0.04522713,1.664001,0.07210372,0.1449985,-0.1237392,0.9816639,False,0,0,0,Data_from_ARETT
1759656691470,True,True,0.0444676,1.66306,0.07223187,0.1360929,-0.1326063,0.9817812,False,0,0,0,Data_from_ARETT
1759656691504,True,True,0.04418641,1.662379,0.07221548,0.1290372,-0.1462081,0.980802,False,0,0,0,Data_from_ARETT
1759656691538,True,True,0.04361848,1.661117,0.0733521,0.1244455,-0.1524042,0.9804521,False,0,0,0,Data_from_ARETT
1759656691572,True,True,0.0425925,1.660492,0.07341105,0.1165271,-0.1602506,0.9801741,False,0,0,0,Data_from_ARETT
1759656691605,True,True,0.04180798,1.659487,0.07369661,0.105857,-0.1729642,0.979223,False,0,0,0,Data_from_ARETT
1759656691640,True,True,0.04043451,1.658306,0.07510225,0.09627147,-0.1804527,0.9788609,False,0,0,0,Data_from_ARETT
1759656691674,True,True,0.03932239,1.65806,0.07508341,0.08213329,-0.1859146,0.9791271,False,0,0,0,Data_from_ARETT
1759656691708,True,True,0.03791735,1.657152,0.07585961,0.07212131,-0.1939025,0.9783661,False,0,0,0,Data_from_ARETT
1759656691742,True,True,0.03701639,1.656553,0.0768254,0.06370061,-0.1984536,0.978038,False,0,0,0,Data_from_ARETT
1759656691777,True,True,0.03527513,1.656531,0.07662499,0.04373419,-0.2019594,0.978417,False,0,0,0,Data_from_ARETT
1759656691811,True,True,0.03334953,1.655909,0.07769313,0.02753757,-0.2058814,0.9781894,False,0,0,0,Data_from_ARETT
1759656691844,True,True,0.03159077,1.655299,0.07834607,0.01142036,-0.2068779,0.9783001,False,0,0,0,Data_from_ARETT
1759656691878,True,True,0.02971473,1.655613,0.0774943,-0.01047314,-0.2124433,0.9771173,False,0,0,0,Data_from_ARETT
1759656691912,True,True,0.0283468,1.654562,0.07905787,-0.01971483,-0.2152977,0.9763494,False,0,0,0,Data_from_ARETT
1759656691946,True,True,0.02670418,1.654368,0.07898517,-0.03811761,-0.2167702,0.9754782,False,0,0,0,Data_from_ARETT
1759656691980,True,True,0.02528427,1.654252,0.0789682,-0.05270558,-0.223421,0.973296,False,0,0,0,Data_from_ARETT
1759656692014,True,True,0.02477552,1.653633,0.08015478,-0.05621332,-0.2207997,0.9736978,False,0,0,0,Data_from_ARETT
1759656692048,True,True,0.02420325,1.654302,0.07972486,-0.06098767,-0.216885,0.9742902,False,0,0,0,Data_from_ARETT
1759656692084,True,True,0.02340569,1.65425,0.07944014,-0.06591813,-0.2191809,0.973455,False,0,0,0,Data_from_ARETT
1759656692117,True,True,0.02250849,1.653682,0.07938257,-0.0725785,-0.2220503,0.9723302,False,0,0,0,Data_from_ARETT
1759656692151,True,True,0.02118882,1.653497,0.07934386,-0.08177325,-0.226862,0.9704879,False,0,0,0,Data_from_ARETT
1759656692185,True,True,0.02134418,1.653503,0.07996561,-0.08047252,-0.2235363,0.971368,False,0,0,0,Data_from_ARETT
1759656692219,True,True,0.02088352,1.653874,0.07950421,-0.08331233,-0.2206913,0.971779,False,0,0,0,Data_from_ARETT
