eyeDataTimestamp,isCalibrationValid,gazeHasValue,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,note
1759673351130,True,True,-0.0729029,1.74093,0.1017791,0.1372326,-0.4571607,0.8787328,True,-0.01517672,1.548628,0.4714135,Data_from_ARETT
1759673351164,True,True,-0.07348452,1.74057,0.1037235,0.1362954,-0.4569245,0.8790014,True,-0.01647159,1.549436,0.4714135,Data_from_ARETT
1759673351198,True,True,-0.07313322,1.740563,0.1045381,0.1338115,-0.4568804,0.8794059,True,-0.01730901,1.549959,0.4714135,Data_from_ARETT
1759673351232,True,True,-0.07317875,1.740259,0.1049667,0.1323295,-0.4589455,0.8785545,True,-0.01798386,1.548832,0.4714135,Data_from_ARETT
1759673351266,True,True,-0.07379927,1.738692,0.1065462,0.1336011,-0.4661975,0.8745345,True,-0.01805916,1.544188,0.4714135,Data_from_ARETT
1759673351300,True,True,-0.07378809,1.738092,0.1084215,0.1324376,-0.4689984,0.8732129,True,-0.0187342,1.54313,0.4714135,Data_from_ARETT
1759673351334,True,True,-0.07327435,1.736439,0.1096408,0.1271707,-0.4709928,0.8729224,True,-0.02056991,1.541242,0.4714135,Data_from_ARETT
1759673351369,True,True,-0.07408182,1.73611,0.1093155,0.1223309,-0.4803337,0.8685129,True,-0.02307996,1.535851,0.4714135,Data_from_ARETT
1759673351402,True,True,-0.07331289,1.734227,0.1098695,0.1218412,-0.485268,0.8658347,True,-0.02243601,1.531595,0.4714135,Data_from_ARETT
1759673351437,True,True,-0.07277767,1.733175,0.1092828,0.1238381,-0.4949184,0.8600697,True,-0.02063587,1.52479,0.4714135,Data_from_ARETT
